,게시물 제목,단어 리스트
2,121번 노선추가 검토부탁드립니다.,노선추가
4,608번 노선조정 관련,노선조정
5,출퇴근시간버스 배차간격,배차간격
7,오늘 6시 반 탑승한 116번 대우 버스 문제점에 대하여,대우
8,동춘당 08:22 출발 103번 버스 지연 이유,지연
9,"603번버스 배차간격, 예상도착시간",배차간격
11,버스 시간에 관하여,버스시간
12,버스 불친절 신고합니다,불친절
13,탑립동 종점 701번 출발시간 지켜주세요,출발시간
15,103번 버스 아저씨 운행시간과 운전속도 지켜서 운전하도록 해주세요,운행시간
16,216번 버스 종점 출발시간 좀 지키세요.,출발시간
18,시내버스 노선 신설,노선
19,216  2354번(저상) 버스기사 손님한테 소리빽빽지르네요,버스기사
20,버스시동을 끄고있어 환승을 못받았습니다.,버스기사
23,604번(9144 저상) 정류장 정차시 제발 안으로 들어가서 정차하세요.,정차
25,602번 운전 좀 제대로 하세요 ㅡㅡ 사고날뻔,운전
26,216번 버스 불친절 신고합니다.,불친절
27,604번 배차간격 변동 최대 25분,배차간격
29,614번 버스 불친절로 신고합니다.,불친절
30,대전 104번 버스 아저씨 불친절이요,불친절
31,513번 버스 불친절 신고,불친절
33,시내버스 급정거..,급정거
35,513 버스 기사님이 하차벨을 무시합니다,불친절
36,급행3 불친절 기사님 불쾌합니다.,불친절
37,불친절 신고,불친절
39,620번 운전기사분 중에 정거장 지나쳐가시는 분 계십니다.,불친절
41,대전0시축제,대전0시축제
42,705번 배차간격,배차간격
44,103 에어컨 왜 안켜주나요?,에어컨
45,316 배차간격좀 줄여주세요,배차간격
46,비오는날 운전 똑바로 하세요,운전
47,918버스 에어컨 왜 안켜요? 사람들 겁나 많은데,에어컨
48,버스 에어컨은 왜 안틀어주시는건가요?,에어컨
49,안녕하세요. 접촉 사고 관련하여 문의 드립니다!!,접촉사고
50,603번 태평가도교 구간 관련,구간
51,<계룡시 출퇴근하면서 BLS>단말기 안떠요,단말기
52,유천동 318번 버스 배차간격,배차간격
53,108번 버스 고장,고장
55,불친절신고,불친절
57,607번 차량 버스 노선,노선
59,121번 노선추가 검토부탁드립니다.,노선추가
61,실내온도,실내온도
62,첨단2번 고의적인 무정차,정차
63,103번 수통골→동춘당의 출근시간 배차 간격 조정을 요청합니다.,배차간격
64,20번 단위 외곽버스 가수원교 정차 문제,무정차
66,606 오전 버스 기사님 참 불친절하세요~,불친절
67,아침 출근시간 에어컨좀 틀어주세요,시설불만
68,6월 1일 목요일 301번  9382 저상 정류장 미정차,무정차
69,안녕하세요 시내버스 에어컨때문에 문의드립니다.,시설불만
70,202번 노선 변경사항 자세히 공지해주세요. + 202번과2002번 저상버스 도입 문의,저상버스도입
71,비오고 습한날 에어컨 틀어주기 바랍니다. 605번 에어컨좀 틀어주세요.,시설불만
72,66번 버스 배차 시간 관련 건의드립니다.,배차시간
75,213번 버스 출발 안 함,운전
77,아침 버스 안전운행 건의건,운전
78,"703번 출근, (8시~9시)퇴근시간(6시~7시) 배차를 늘려주세요..",배차간격
80,711번 버스 적반하장,불친절
82,학교 교복을 입었다는 이유로 어린이 요금 적용 안했습니다,요금
84,301번 버스 9353 난폭운전 무섭네요,난폭운전
85,B1번 2층전기저상버스 9934호 수리 완료되었습니까?,수리
88,대전 시내버스 꼬리물기,운전
89,911버스 정차문제,정차
90,802번 버스 정차x,정차
91,난폭운전 무섭습니다,난폭운전
92,"버스 실제 운행시간, 시간표 관련",운행시간
94,703번 2160호 승차거부,승차거부
95,802번 배차간격,배차간격
,608번 기사님 하차문 하자 관련,시설불만
,정류장 거치지 않고 지나가는 버스가 어딨습니까?,무정차
,공지된 버스출발예정시간에 출발해주세요,버스출발예정시간
,75자 2600 20번 버스기사님 난폭운전,난폭운전
,301번 버스 아침 시간 배차 간격에 대하여,배차간격
,BRT 커튼 좀 달아주시죠.!!!!!!!!!,시설불만
,대전교통 608번 2149호 기사님 난폭운전,난폭운전
,103번 아침 배차간격,배차간격
,115번 배차,배차
,616버스를 더 많이 운행해 주세요,배차증설
,114번 배차 증설 부탁드립니다..제발..,배차증설
,121번 시내버스 배차,배차
,버스 배차시간,배차시간
,B1 기사 교육 필요성 및 B1 운행 개선사항 요청,버스기사
,급행3번 노선 연장 관련 문의,노선연장
,102번 버스기사님들 제발 히터좀 적당히 켜주세요,시설불만
,버스 배차간격,배차간격
,704번 정류장 미정차 통과,무정차
,603번 버스 배차,배차
